Código,Nome do Exercício,grupo_muscular,musculo_foco
1001,Supino Reto com Halteres,Peito,Peitoral Maior
1002,Desenvolvimento com Halteres,Ombro,Deltoide Anterior
1003,Remada Curvada com Barra,Costas,Grande Dorsal
1004,Agachamento Livre,Perna,Quadríceps
1005,Leg Press 45°,Perna,Quadríceps
1006,Rosca Direta com Barra,Braço,Bíceps Braquial
1007,Tríceps Testa com Barra,Braço,Tríceps Braquial
1008,Elevação Lateral com Halteres,Ombro,Deltoide Lateral
1009,Mesa Flexora,Perna,Isquiotibiais
1010,Panturrilha em Pé,Perna,Gastrocnêmio
